Title,Price,Rating,RAM,Display,Camera,Battery,Warranty,Rating_Numeric,Sentiment,Title_Sentiment_Score
"Infinix SMART 20 (Cloudline Blue, 64 GB)","₹12,499",4.0,4 GB RAM | 64 GB ROM,17.22 cm (6.78 inch) HD+ Display,8MP Rear Camera | 8MP Front Camera,5200 mAh Battery,"1 year for Handset
6 months for Accessories",4.0,Positive,0.5319
"POCO X8 Pro (Black, 256 GB)","₹37,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4,Positive,0.0
"Samsung Galaxy F07 (Green, 64 GB)","₹9,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,43.23 cm (17.018 cm) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3,Positive,0.0
"Samsung Galaxy F70e 5G (Limelight Green, 128 GB)","₹12,999",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Li-ion Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2,Positive,0.0
"POCO X8 Pro (Iron man edition, 256 GB)","₹39,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4,Positive,0.0
"POCO X8 Pro (Black, 256 GB)","₹34,999",4.3,8 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,Positive,0.0
"vivo T5x 5G (Cyber Green, 256 GB)","₹26,999",4.4,8 GB RAM | 256 GB ROM,17.17 cm (6.76 inch) Display,50MP + 2MP | 32MP Front Camera,7200 mAh Li-ion Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,Positive,0.0
"HMD Vibe2 5G (Peach Pink, 128 GB)","₹14,999",4.6,4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Li-Poly Battery,,4.6,Positive,0.0
"realme P4 Lite 5G (Mosaic Blue, 128 GB)","₹17,499",4.3,4 GB RAM | 128 GB ROM,17.27 cm (6.8 inches) HD+ Display,13MP Rear Camera | 5MP Front Camera,7000 mAh lithium-ion polymer Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,Positive,0.0
"Ai+ Pulse 2 (Purple, 64 GB)","₹10,499",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,4.3,Positive,0.0
"POCO X8 Pro (White, 256 GB)","₹37,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4,Positive,0.0
"POCO X8 Pro (Green, 256 GB)","₹34,999",4.3,8 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,Positive,0.0
"Samsung Galaxy F36 5G (Black, 128 GB)","₹17,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3,Positive,0.0
"Samsung M06 5G (Sage Green, 128 GB)","₹12,083",4.1,4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,,4.1,Positive,0.0
"HMD Vibe2 5G (Nordic Blue, 128 GB)","₹14,999",4.6,4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Li-Poly Battery,,4.6,Positive,0.0
"IQOO Z11x 5G (Prismatic Green, 128 GB)","₹22,963",4.3,6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,7200 mAh Battery,,4.3,Positive,0.0
"POCO X8 Pro (Green, 256 GB)","₹37,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4,Positive,0.0
"HMD VIBE2 5G (Nordic Blue, 128 GB)","₹16,999",4.5,6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Li-Poly Battery,,4.5,Positive,0.0
"realme P4 Lite 5G (Mosaic Green, 128 GB)","₹18,999",4.3,6 GB RAM | 128 GB ROM,17.27 cm (6.8 inches) HD+ Display,13MP Rear Camera | 5MP Front Camera,7000 mAh lithium-ion polymer Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,Positive,0.0
"Samsung M06 5G (Blazing Black, 128 GB)","₹12,047",4.1,4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,,4.1,Positive,0.0
"OPPO K14 5G (Icy Blue, 256 GB)","₹21,999",4.4,6 GB RAM | 256 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,Positive,0.0
